Spécialité pharmaceutique ,Substance active ,Type ATU / RTU,Dates ATU / RTU (si date seule = arrêt),Date AMM,ATU / RTU en cours (1) VS arrêtée (0),Commentaires,Labo
"DAPSONE 50 mg, comprimé",dapsone,, ,,,"Cette spécialité ne contient pas de fer contrairement à la spécialité disponible en France dans le cadre d'une AMM (DISULONE 50 mg, comprimé).",ACTAVIS LTD
"NATRIUMTHIOSULFAT 10 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"NATRIUMTHIOSULFAT 25 %, solution injectable",thiosulfate de sodium,, ,,, ,LABORATOIRE KOHLER CHEMIE
"PERMETHRIN 5% w/w, crème",perméthrine,, ,,, ,SANDOZ LTD
"SULFAMYLON 5%, poudre pour solution pour application cutanée",mafénide (acetate),, ,,, ,UDL LABORATORIES INC
"SULFAMYLON 85 mg, crème",mafénide (acetate),, ,,, ,UDL LABORATORIES INC
"XEPIN 5%, crème",doxepin hydrochloride,, ,,, ,CAMBRIDGE HEALTHCARE SUPPLIES LTD
"ZYFLO 600 mg, comprimé pelliculé",zyleuton,, ,,, ,CORNERSTONE THERAPEUTICS INC.
"HUMULIN REGULAR 500 UI/ml, suspension injectable",insuline,, ,,, ,ELI LILLY INTERNATIONAL  LILLY CORPORATE
"IRENAT 300 mg/ml, solution buvable en gouttes",perchlorate de sodium,, ,,, ,ALLIANCE PHARMACEUTICALS
"KETOCONAZOLE HRA PHARMA 200 mg, comprimé",kétoconazole,,06/03/2015,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire HRA-Pharma (tel : 01 46 99 68 24).,HRA PHARMA
"LODOSYN 25 mg, comprimé",carbidopa,, ,,, ,ATON PHARMA
"METRELEPTIN 5 mg/ml, poudre pour solution injectable",métréleptin,, ,,, ,BRISTOL MYERS SQUIBB
"NIZORAL 200 mg, comprimé",kétoconazole,, ,,,Cette spécialité n'est plus mise à disposition par le laboratoire.,JANSSEN CILAG NV
"OXANDROLONE USP 2.5 mg, comprimé",oxandrolone,, ,,, ,PAR PHARM
"PASIREOTIDE LAR 40 mg, poudre et solvant pour solution injectable",pasireotide,,19/02/2015,,, ,NOVARTIS PHARMA S.A.S.
"PASIREOTIDE LAR, poudre et solvant pour solution injectable",PASIREOTIDE,,19/02/2015,,, ,NOVARTIS PHARMA S.A.S.
"PROGLYCEM 50 mg/ml, suspension buvable",diazoxide,, ,,, ,TEVA GLOBAL
"AMMONUL 10%/10%, poudre et solvant pour solution injectable",sodium (benzoate) et sodium (phénylacétate),, ,,, ,UCYCLYD PHARMA INC
"DODECAVIT 5 mg/ml, solution injectable",hydroxocobalamine (acétate),, ,,, ,SERB
"KREON FUR KINDER, granulés gastro-résistants",pancréatine d'origine porcine,,22/09/2014,,,"Cette spécialité est désormais disponible selon son AMM obtenue en juin 2014 sous la dénomination CREON 5000 U, granulés gastro-résistants.",ABBOTT ARZNEIMITTEL GMBH
"NORMIX 200 mg, comprimé pelliculé",rifaximine,, ,,, ,ALFA WASSERMANN
"NORMIX 2g/100 ml, granulés pour solution buvable",rifaximine,, ,,, ,ALFA WASSERMANN
"REFERO 550 mg, comprimé",rifaximine,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du  laboratoire CEVIDRA (E-mail : atu@cevidra.com).,ALFA WASSERMANN
"SECRELUX 100 U, poudre et solvant pour solution injectable",secrétine,, ,,, ,SANOCHEMIA DIAGNOSTICS GERMANY GMBH
"URSOFALK 50 mg/ml, suspension buvable",ursodésoxycholique (acide),, ,,, ,DR FALK PHARMA GMBH
"VEDOLIZUMAB 300 mg, poudre pour solution à diluer pour perfusion",vedolizumab,,15/09/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en mai 2015 sous la dénomination ENTYVIO.,TAKEDA FRANCE
"VITAMINE E 100 mg/ml, suspension buvable",alpha-tocophérol (acétate),, ,,, ,ALLIANCE PHARMACEUTICALS
"ADAGEN 250 U/ml, solution injectable",pégademase bovine,, ,,, ,ORPHAN EUROPE
"BLINATUMOMAB 33 µg/ml, poudre et solvant pour solution pour perfusion",blinatumomab,, ,,,,AMGEN SA
"CAMPATH 30 mg/ml, solution à diluer pour perfusion",alemtuzumab,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Genzyme (tel : 01 30 87 26 70).,GENZYME S.A.S
"CARFILZOMIB 60 mg, poudre pour solution injectable",carfilzomib,, ,,, ,AMGEN SA
"DEFIBROTIDE 200 mg, solution à diluer pour perfusion",défibrotide,,06/06/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2013 sous la dénomination DEFITELIO.,GENTIUM SPA
"DEXSOL 2mg/5ml, solution buvable",dexaméthasone (phosphate),, ,,, ,ROSEMONT PHARMACEUTICALS LTD
"ERWINASE 10000 U, poudre pour solution injectable",crisantaspase,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire EUSA Pharma (tel : 04 37 49 85 85).,EUSA PHARMA
"IBRUTINIB 140 mg, gélule",ibrutinib,,17/11/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en octobre 2014 sous la dénomination IMBRUVICA.,JANSSEN-CILAG
"ISTODAX 10 mg, poudre pour solution pour perfusion",romidepsin,, ,,, ,CELGENE FRANCE
"LEUKOTAC 1 mg/ml, solution à diluer pour perfusion",inolimomab,, ,,, ,EUSA PHARMA
"MYLOTARG 5 mg, poudre pour solution pour perfusion",gemtuzumab ozogamicin,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire PFIZER (tél : 0800 87 39 42).,PFIZER
"NEODEX 40 mg, comprimé sécable",dexaméthasone,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire CTRS (tél : 01.41.22.09.70).,LABORATOIRES CTRS
"OBINUTUZUMAB 25 mg/ml, solution pour perfusion",Obinutuzumab,, ,,,,ROCHE
"OMACETAXINE MEPESUCCINATE 3,5 mg, poudre pour solution injectable",omacétaxine mépésuccinate (homoharringtonine),, ,,, ,AMATSI
"ONCASPAR 750 UI/ml, solution injectable",Peg-L-Asparaginase,, ,,, ,SIGMA-TAU FRANCE
"ONTAK 300 µg/2 ml, solution à diluer pour perfusion",denileukin diftitox,, ,,, ,LIGAND PHARMACEUTICALS UK
"PKC 412 25 mg, capsule molle",midostaurin,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire NOVARTIS PHARMA S.A.S. (Tel. : 01.55.47.68.15).,NOVARTIS PHARMA S.A.S.
"VALCHLOR, gel pour application cutanée",chlorméthine ou méchloréthamine,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire Actelion (tel : 01 58 62 32 32).,ACTELION PHARMACEUTICALS FRANCE
"VORAXAZE 1000 UI, poudre pour solution pour perfusion",carboxypeptidase  G2,, ,,, ,BTG INTERNATIONAL INC VIA CLINIGEN HEALTHCARE LTD
"ZOLINZA 100 mg, gélule",vorinostat,, ,,, ,MERCK SHARP & DOHME - CHIBRET
"ALINIA 100 mg/5 ml, suspension buvable",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"ALINIA 500 mg, comprimé",nitazoxanide,, ,,, ,ROMARK PHARMACEUTICALS
"BMS-650032 100 mg, gélule",asunaprevir,, ,,, ,BRISTOL MYERS SQUIBB
"BMS-790052 60 mg, comprimé pelliculé",daclatasvir,,27/10/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en août 2014 sous la dénomination DAKLINZA.,BRISTOL MYERS SQUIBB
"CAPASTAT 1 g, poudre pour solution injectable",capréomycine (sulfate),, ,,, ,VIANEX SA
"CIDOFOVIR 75 mg/ml, solution injectable",cidofovir,, ,,, ,NEXCAPE PHARMACEUTICALS LTD
"CMX 001 100 mg, comprimé",brincidofovir,, ,,,,CHIMERIX
"CYCLOSERINE 250 mg, gélule",cyclosérine,, ,,, ,KING PHARMACEUTICALS LTD
"DILOXANIDE 500 mg, comprimé",diloxanide,, ,,, ,WAYMADE PLC
"DOLUTEGRAVIR  50 mg, comprimé pelliculé",dolutegravir,,27/01/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en en janvier 2014 sous la dénomination TIVICAY.,VIIV HEALTHCARE SAS
"HUMATIN 250 mg, gélule",paromomycine (sulfate),, ,,, ,PFIZER PHARMA GMBH
"IMPAVIDO 50 mg, gélule",miltéfosine,, ,,, ,PAESEL & LOREI GMBH & CO
"ISAVUCONAZOLE 200 mg, gélule",isavuconazole,, ,,, ,BASILEA PHARMACEUTICA INTERNATIONAL LTD
"ISAVUCONAZOLE 200 mg, poudre pour solution injectable",isavuconazole,, ,,, ,BASILEA PHARMACEUTICA INTERNATIONAL LTD
"IVOMEC PORCIN 10 mg/ml, solution injectable",ivermectine,, ,,, ,MERIAL
"LAFEPE BENZNIDAZOL 100 mg, comprimé",benznidazole,, ,,, ,LABORATOIRE LAFEPE
"MALACEF 60 mg, poudre et solvant pour solution injectable",artésunate,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du CNR Paludisme de l'Hôpital de La Pitié Salpêtrière (tel : 01 42 16 01 12 ou 13).,ACE PHARMACEUTICALS
"MARIBAVIR 100 mg, comprimé",maribavir,, ,,, ,VIROPHARMA LIMITED
"NEGABAN 1 g, poudre pour solution injectable",témocilline,, ,,, ,EUMEDICA S.A.
"NEGABAN 2 g, poudre pour solution injectable",témocilline,, ,,, ,EUMEDICA S.A.
"PAS-FATOL 11,82 g, poudre pour solution pour perfusion",acide aminosalicylique,, ,,, ,RIEMSER PHARMA GMBH
"PMS-ISONIAZID 10 mg/ml, solution buvable",isoniazide,, ,,, ,PHARMASCIENCE INC.
"PRIMAQUINE 15 mg (base), comprimé",primaquine (diphosphate),, ,,, ,SANOFI-AVENTIS
"PRIMAQUINE 7,5 mg (base), comprimé",primaquine (diphosphate),, ,,, ,DURBIN PLC
"SIMÉPRÉVIR 150 mg, gélule",siméprévir,,03/06/2014,,,Cette spécialité est désormais disponible dans le cadre de son AMM obtenue en mai 2014 sous la dénomination OLYSIO.,JANSSEN RESEARCH AND DEVELOPMENT
"TMC 207 100 mg, comprimé", bedaquiline,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire JANSSEN-CILAG (tel : 0800.25.50.75  ou 01.55.00.40.03),JANSSEN RESEARCH AND DEVELOPMENT
"TRECATOR 250 mg, comprimé",ethionamide,, ,,, ,WYETH PHARMACEUTICALS INC
"VERMOX 500 mg, comprimé",mébendazole,, ,,, ,JANSSEN RESEARCH AND DEVELOPMENT
"VIRAZOLE 100 mg/ml, solution à diluer pour perfusion",ribavirine,, ,,, ,MEDA PHARMA GMBH
"ZANAMIVIR 10 mg/ml, solution à diluer pour perfusion",zanamivir,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire GSK (contact laboratoire 24h/24 : 01 39 17 84 44).,GLAXOSMITHKLINE
"ZITHROMAX 500 mg, poudre pour solution pour perfusion",azithromycine dihydraté,, ,,, ,PFIZER INC
"ELELYSO 200 U, poudre pour solution pour perfusion",taliglucérase alfa,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site internet de l'ANSM et auprès du laboratoire Pfizer (tel : 01 58 07 30 00).,PFIZER
"L-ARGININ-HYDROCHLORID B BRAUN  21%, solution à diluer pour perfusion",arginine (chlorhydrate),, ,,, ,B BRAUN
"PREFOLIC 15 mg, comprimé gastro-résistant",5 méthyl-tétrahydrofolate,, ,,, ,ZAMBON ITALIA SRL
"SUCRAID 8500 UI/ml, solution buvable",sacrosidase,, ,,, ,QOL MEDICAL
"TRIENTINE DICHLORHYDRATE 300 mg, gélule",trientine (dichlorhydrate),, ,,, ,UNIVAR LTD
"XENBILOX 250 mg, gélule",chénodésoxycholique (acide),, ,,, ,SIGMA-TAU FRANCE
"ELMISOL 10 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 25 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 5 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"ELMISOL 50 mg, comprimé",lévamisole,, ,,, ,ACE PHARMACEUTICALS
"INDOCIN 25 mg/5 ml, suspension buvable",indométacine,, ,,, ,IROKO
"INDO-PAED 25 mg/5 ml, suspension buvable",indométacine,, ,,, ,1 A PHARMA
"UROCIT-K 10 meq (1080 mg), comprimé",potassium (citrate),, ,,, ,MISSION PHARMACAL
"UROCIT-K 5 meq (540 mg), comprimé",potassium (citrate de),, ,,, ,MISSION PHARMACAL
"AGOMELATINE 5 mg, comprimé",agomélatine,, ,,, ,LABORATOIRE SERVIER INDUSTRIE
"ALCOVER 24,5 g/140 ml, solution buvable",sodium (oxybate),, ,,, ,LABORATORIO FARMACEUTICO
"BELLAFIT 0,5 mg/ml, solution buvable en gouttes",atropine (sulfate),, ,,, ,G. STREULI AND CIE. SA
"BF 2649 20 mg, comprimé pelliculé sécable",pitolisant,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte sous la dénomination WAKIX. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Bioprojet Pharma (Tel : 01.47.03.66.33).,BIOPROJET PHARMA
"BREVIMYTAL HIKMA 500 mg, poudre pour solution injectable",méthohexital sodique,, ,,, ,HIKMA PHARMA GMBH
"DEXAMFETAMINE SULPHATE 5 mg, comprimé",dexamfetamine sulphate,, ,,,Ce médicament est soumis à la réglementation des stupéfiants.,AUDEN MCKENZIE (PHARMA DIVISION) LTD
"DIAZEPAM DESITIN 10 mg, gel rectal",diazepam,, ,,, ,DESITIN
"DIAZEPAM DESITIN 5 mg, gel rectal",diazepam,, ,,, ,DESITIN
"DIBRO-BE MONO 850 mg, comprimé sécable",potassium (bromure),, ,,, ,DIBROPHARM ARZNEIMITTEL
"DIMINEX 2 mg, comprimé sécable",mazindol,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible sur le site Internet de l'ANSM et auprès du laboratoire H.A.C. Pharma (tel. : 02 31 47 92 46).,H.A.C. PHARMA
"EDROPHONIUM INJECTION BP 10mg/1ml, solution injectable",édrophonium (chlorure),, ,,, ,CAMBRIDGE LABORATORIES LIMITED
"ENLON, solution injectable",édrophonium (chlorure),, ,,, ,MYLAN INSTITUTIONAL LLC
"EPANUTIN 30 mg/5 ml, suspension buvable",phénytoïne,, ,,, ,PFIZER PGM
"EPHEDRINE HYDROCHLORIDE  15 mg, comprimé",éphédrine (chlorhydrate),, ,,, ,WOCKHARDT UK LTD
"LABURIDE 200 mg, comprimé sécable",phénéturide,, ,,, ,KELA PHARMA NV
"LIORESAL 5mg/5ml, solution buvable",baclofène,, ,,, ,NOVARTIS PHARMACEUTICALS UK LTD
"LORAZEPAM 4 mg/ml, solution injectable",lorazepam,, ,,,Ce médicament est soumis à la réglementation des psychotropes.,WEST-WARD PHARMACEUTICALS
"MESTINON  60 mg/5 ml, sirop",pyridostigmine (bromure),, ,,, ,VALEANT PHARMACEUTICALS NORTH AMERICA
"MESTINON RETARD 180 mg, comprimé à libération prolongée",pyridostigmine (bromure),, ,,, ,MEDA PHARMA GMBH
"MNESIS 45 mg, comprimé",idébénone,, ,,, ,TAKEDA ITALIA FARMACEUTICAL
"NEOSTIGMINE BROMIDE 15 mg, comprimé",néostigmine (bromure),, ,,, ,ALLIANCE PHARMACEUTICALS
"NEOTON 1 g, poudre et solvant pour solution injectable",créatine phosphate,, ,,, ,SEARLE FARMACEUTICI
"OSPOLOT 200 mg, comprimé sécable",sultiame,, ,,, ,DESITIN
"OSPOLOT 50 mg, comprimé",sultiame,, ,,, ,DESITIN
"PETINIMID 250 mg, gélule",éthosuximide,, ,,, ,ORION PHARMA AG
"PROSTIGMIN 15 mg, comprimé",neostigmine bromide,, ,,, ,VALEANT PHARMACEUTICALS NORTH AMERICA
"SALBUMOL 2 mg, comprimé",salbutamol,, ,,, ,GLAXOSMITHKLINE FRANCE
"SIRDALUD 4 mg, comprimé sécable",tizanidine,, ,,, ,NOVARTIS PHARMA SA
"STRATTERA 10 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"STRATTERA 18 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"STRATTERA 25 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"STRATTERA 40 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"STRATTERA 60 mg, gélule",atomoxétine,, ,,, ,LILLY FRANCE SA
"SYMMETREL 50 mg/5 ml, sirop",amantadine hydrochloride,, ,,, ,ALLIANCE PHARMACEUTICALS
"TECFIDERA 120 mg, gélule gastro-résistante",dimethyl fumarate,,03/03/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en janvier 2014.,BIOGEN IDEC FRANCE
"TECFIDERA 240 mg, gélule gastro-résistante",diméthyl fumarate,,03/03/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en janvier 2014.,BIOGEN IDEC FRANCE
"TRAZOLAN 100 mg, comprimé sécable",trazodone (chlorhydrate),, ,,, ,CONTINENTAL PHARMA INC.
"TRITTICO RETARD 150 mg, comprimé",trazodone (chlorhydrate),, ,,, ,CSC PHARMACEUTICALS HANDELS GMBH
"UBICOR 50 mg/10 ml, poudre et solvant pour suspension buvabie",ubidécarénone,, ,,, ,MAGIS FARMACEUTICI SPA
"UBITEN 10 mg, comprimé",ubidécarénone,, ,,, ,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg, gélule",ubidécarénone,, ,,, ,ITALFARMACO SPA
"UBITEN OU DECORENONE 50 mg/10 ml, solution buvable",ubidécarénone,, ,,, ,ITALFARMACO SPA
"ALPHAGAN P 0,15 %, collyre en solution",brimonidine (tartrate),, ,,,"Cette spécialité ne contient pas le même conservateur que la spécialité disponible en France dans le cadre d'une AMM (ALPHAGAN 0,2%, collyre).",ALLERGAN FRANCE
"BROLENE 0,10%, collyre en solution",propamidine (iséthionate),, ,,, ,AVENTIS PHARMA LIMITED
"CYSTADROPS 0,55%, collyre en solution",cystéamine chlorhydrate,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Orphan Europe (tel : 01 47 73 94 61).,ORPHAN EUROPE
"GS 101  0,86 mg/ml, collyre en solution",25mer phosphorothioate oligonucléotide,, ,,,L'utilisation de ce médicament est soumise à un Protocole d'utilisation thérapeutique et de recueil d'informations disponible auprès du laboratoire CRID Pharma (04 99 58 38 67).,AMATSI
"IKERVIS 1mg/ml, collyre en émulsion",ciclosporine,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire SANTEN (tel : 01 69 87 40 20).,SANTEN
"NATACYN 5%, collyre en suspension",natamycine,, ,,, ,ALCON LABORATORIES INC.
"PREDFORTE 1 %, collyre en suspension",prednisolone (acétate),, ,,, ,ALLERGAN PHARMACEUTICALS IRELAND
"RAXONE 150 mg, comprimé pelliculé",idébénone,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du laboratoire Santhera (tel : 0800 87 49 19).,SANTHERA PHARMACEUTICALS GMBH
"RESTASIS 0,05%, collyre en solution",ciclosporine,, ,,, ,ALLERGAN
"LEUKINE 250 µg/ml, poudre pour solution injectable",sargramostim,, ,,, ,GENZYME CORPORATION
"NINTEDANIB 150 mg, capsule molle",nintedanib,, ,,,Cette spécialité est aussi disponible dans le cadre d'une ATU de cohorte. Le Protocole d'utilisation thérapeutique et de recueil d'informations est disponible sur le site Internet de l'ANSM et auprès du  laboratoire Boehringer Ingelheim ( tel :  0 800 220 006).,BOEHRINGER INGELHEIM FRANCE
"RIOCIGUAT 0,5 mg, comprimé pelliculé",riociguat,,19/05/2014,,,Cette spécialité est désormais disponible dans le cadre de son AMM obtenue en mars 2014 sous la dénomination ADEMPAS.,BAYER SANTÉ
"RIOCIGUAT 1 mg, comprimé pelliculé",riociguat,,19/05/2014,,,Cette spécialité est désormais disponible dans le cadre de son AMM obtenue en mars 2014 sous la dénomination ADEMPAS.,BAYER SANTÉ
"RIOCIGUAT 2 mg, comprimé pelliculé",riociguat,,19/05/2014,,,Cette spécialité est désormais disponible dans le cadre de son AMM obtenue en mars 2014 sous la dénomination ADEMPAS.,BAYER SANTÉ
"RIOCIGUAT 2,5 mg, comprimé pelliculé",riociguat,,19/05/2014,,,Cette spécialité est désormais disponible dans le cadre de son AMM obtenue en mars 2014 sous la dénomination ADEMPAS.,BAYER SANTÉ
"SB240563 250 mg, poudre pour solution injectable",mépolizumab,, ,,, ,GLAXOSMITHKLINE FRANCE
"NARDELZINE 15 mg, comprimé",phénelzine (sulfate),, ,,, ,PFIZER
"NARDIL 15 mg, comprimé",phénelzine,, ,,, ,PFIZER
"NORTRILEN 25 mg, comprimé",nortriptyline (chlorhydrate),, ,,, ,H. LUNDBECK A/S
"TRANYLCYPROMINE 10 mg, comprimé",tranylcypromine,, ,,, ,GOLDSHIELD PHARMACEUTICALS LTD
"ZELDOX 20 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"ZELDOX 40  mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"ZELDOX 60 mg, gélule",ziprasidone (chlorhydrate monohydrate),, ,,, ,PFIZER
"68 GA/ 68GE 1,1 GBq, générateur radiopharmaceutique",68 Ga/ 68 Ge,, ,,, ,IASON LABORMEDEZIN GMBH
"CHLORURE D'INDIUM 111 + PENTETREOTIDE 1220 MBq/10 mcg, solution injectable",chlorure d'indium 111 + pentetreotide,, ,,, ,MALLINCKRODT MEDICAL  S.A.
"DOTA-TOC 50 microgramme, solution injectable",edotreotide,, ,,, ,IASON LABORMEDEZIN GMBH
"LUTATHERA 7,4 GBq / flacon, solution injectable", 177Lu-DOTA0-Tyr3-Octréotate,, ,,, ,ADVANCED ACCELARATOR APPLICATIONS
"XOFIGO 1000 kBq/ml, solution injectable",radium (dichlorure)  Ra223,,29/01/2014,,,Cette spécialité est désormais disponible selon son AMM obtenue en novembre 2013.,BAYER HEALTH CARE
"DESURIC 100 mg, comprimé sécable",benzbromarone,, ,,, ,PROSTRAKAN PHARMA BV
"KRYSTEXXA 8 mg, poudre pour solution injectable",pegloticase,, ,,, ,SAVIENT PHARMACEUTICALS INC
"MYOCRISIN  20 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"MYOCRISIN 100 mg/ml, solution injectable",sodium aurothiomalate,, ,,, ,SANOFI AVENTIS
"ELMIRON 100 mg, gélule",pentosan (polysulfate),, ,,, ,ARTHROPHARM PTY LTD
"MYOCHOLINE 10 mg, comprimé",béthanéchol (chlorure),, ,,, ,CHEPLAPHARM ARZNEIMITTEL GMBH
"MYOCHOLINE 25 mg, comprimé sécable",béthanéchol (chlorure),, ,,, ,CHEPLAPHARM ARZNEIMITTEL GMBH
"PMS-OXYBUTYNIN 1 mg/ml, sirop",chlorhydrate d'oxybutynine,, ,,, ,PHARMASCIENCE INC.
"POTABA 3 g, poudre pour suspension buvable",potassium (paraaminobenzoate),, ,,, ,CHEPLAPHARM ARZNEIMITTEL GMBH
